weather_date,storm_day_before,rain_intensity,max_temp_day,max_rain_day,heat_intensity,average_temp_day,average_rain_day
2022-02-09,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2021-02-09,1,no_rain,28.2,0.0,warm,24.27,0.0
2021-11-08,1,no_rain,22.5,0.0,mild,19.73,0.0
2016-11-08,1,no_rain,26.9,0.0,mild,23.17,0.0
2020-10-08,1,no_rain,20.6,1.0,cold,19.69,0.08
2020-09-08,1,no_rain,19.7,1.0,cold,18.4,0.18
2016-09-08,1,no_rain,23.3,0.0,mild,16.52,0.0
2016-08-08,1,moderate,15.3,6.6,cold,12.24,0.79
2016-07-08,1,no_rain,20.2,0.0,cold,12.26,0.0
2022-02-08,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2021-02-08,1,no_rain,27.1,0.0,warm,24.4,0.0
2016-11-07,1,no_rain,26.5,0.0,mild,22.17,0.0
2016-10-07,1,no_rain,21.0,0.0,cold,17.18,0.0
2016-07-07,1,no_rain,20.2,0.0,cold,15.74,0.0
2022-02-07,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2020-10-06,1,no_rain,22.2,0.0,mild,20.63,0.0
2016-10-06,1,heavy,18.3,11.2,cold,16.96,1.4
2016-09-06,1,moderate,24.4,9.4,mild,19.7,0.84
2016-07-06,1,no_rain,22.1,0.2,mild,17.17,0.02
2021-03-06,1,weak,28.0,2.2,warm,23.32,0.16
2020-10-05,1,weak,21.5,1.4,cold,19.62,0.34
2016-10-05,1,no_rain,20.7,0.2,cold,17.56,0.01
2016-09-05,1,no_rain,22.2,0.2,mild,18.06,0.01
2016-08-05,1,no_rain,22.5,0.0,mild,19.06,0.0
2016-07-05,1,no_rain,21.7,0.0,cold,17.1,0.0
2021-06-05,1,no_rain,24.9,0.0,mild,22.35,0.0
2021-03-05,1,heavy,27.3,16.2,warm,23.96,1.11
2021-11-04,1,no_rain,25.9,0.4,mild,23.15,0.02
2016-11-04,1,no_rain,24.1,0.0,mild,19.77,0.0
2016-10-04,1,no_rain,22.4,0.2,mild,18.07,0.02
2016-08-04,1,no_rain,19.4,0.4,cold,16.84,0.04
2016-07-04,1,no_rain,18.0,0.2,cold,16.16,0.01
2021-06-04,1,no_rain,24.4,0.0,mild,20.2,0.0
2021-03-04,1,no_rain,29.0,0.6,warm,24.82,0.04
2022-02-04,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2021-11-03,1,moderate,25.8,3.6,mild,22.9,0.35
2016-11-03,1,no_rain,24.1,0.2,mild,19.38,0.03
2016-10-03,1,weak,19.9,1.4,cold,17.38,0.23
2016-08-03,1,weak,18.0,1.8,cold,15.36,0.28
2021-07-03,1,no_rain,20.2,0.0,cold,14.62,0.0
2021-03-03,1,heavy,29.8,12.4,warm,25.12,0.91
2022-02-03,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2021-02-03,1,no_rain,31.0,0.0,warm,28.01,0.0
2016-12-02,1,weak,23.6,1.6,mild,20.91,0.25
2016-11-02,1,no_rain,29.9,0.2,warm,23.7,0.01
2020-10-02,1,no_rain,35.4,0.0,heavy_warm,24.5,0.0
2016-09-02,1,no_rain,21.2,0.0,cold,17.81,0.0
2016-08-02,1,no_rain,20.7,0.2,cold,17.26,0.03
2021-03-02,1,heavy,29.2,19.8,warm,24.66,1.69
2022-02-02,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2016-12-01,1,no_rain,24.9,0.2,mild,20.54,0.01
2021-11-01,1,weak,23.6,2.0,mild,21.51,0.15
2016-11-01,1,no_rain,25.4,0.0,mild,22.24,0.0
2020-10-01,1,no_rain,33.4,0.2,heavy_warm,24.99,0.01
2016-09-01,1,no_rain,21.4,0.0,cold,17.0,0.0
2016-08-01,1,no_rain,26.9,0.0,mild,19.93,0.0
2016-07-01,1,no_rain,17.6,0.0,cold,16.06,0.0
2021-03-01,1,heavy,24.6,32.8,mild,22.55,4.22
2022-02-01,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
